"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017"
2,"Corey Bellemore","4:34.35",2016,NA,"London, United KingdomBeer Mile World Classic L...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016"
2,"Corey Bellemore","4:34.35",2016,NA,"London, United KingdomBeer Mile World Classic L...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016"
2,"Corey Bellemore","4:34.35",2016,NA,"London, United KingdomBeer Mile World Classic L...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016"
2,"Corey Bellemore","4:34.35",2016,NA,"London, United KingdomBeer Mile World Classic L...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016"
