"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
1,"Corey Bellemore","4:33.6",2017,NA,"Kezar  Stadium San Franci...San Francisco Delta's Inv...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151109","San Francisco Delta's Invitational","Kezar  Stadium San Francisco CA","October 28, 2017",4,33.6,273.6
2,"Corey Bellemore","4:34.35",2016,NA,"London, United KingdomBeer Mile World Classic L...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016",4,34.35,274.35
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",4,36.8,276.8
4,"Chris Robertson","4:38.7",2020,NA,"ChicagoVirtual Beer Mile Champs ...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151623","Virtual Beer Mile Champs Attempt #3","Chicago","June 25, 2020",4,38.7,278.7
5,"Chris Robertson","4:38.7",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",4,38.7,278.7
6,"Corey Bellemore","4:39.56",2016,NA,"Windsor, ON, CanadaCorey Bellemore Time Tria...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_150282","Corey Bellemore Time Trial","Windsor, ON, Canada","July 28, 2016",4,39.56,279.56
7,"Chris Robertson","4:45.7",2020,NA,"ChicagoVirtual Beer Mile Champs ...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151620","Virtual Beer Mile Champs Attempt #1","Chicago","June 20, 2020",4,45.7,285.7
8,"Chris Robertson","4:46.67",2017,NA,"Chicago, IL, United State...July Time Trial #2","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_150523","July Time Trial #2","Chicago, IL, United States","July 25, 2017",4,46.67,286.67
9,"Lewis Kent","4:47.17",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_6606","FloTrack 2015 Championships, Men's Elite","Austin, TX, United States","December 1, 2015",4,47.17,287.17
10,"Dale Clutterbuck","4:47.39",2016,NA,"London, United KingdomBeer Mile World Classic L...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dale+Clutterbuck","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016",4,47.39,287.39
11,"Chris Robertson","4:47.7",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",4,47.7,287.7
12,"Brandon Shirck","4:47.72",2016,NA,"Ojai, CA, United States4:47.72 time trial","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Brandon+Shirck","https://www.beermile.com/display/event_150276","4:47.72 time trial","Ojai, CA, United States","July 17, 2016",4,47.72,287.72
